patient_id,tile_id,tile_row,tile_col,tile_purity,n_spots,FMRP_signature_score,Cell_cycle_signature_score,YAP_signature_score,WNT_signature_score,EMT_signature_score,x_min_fullres,y_min_fullres,x_max_fullres,y_max_fullres,FMRP_signature_score_binary,Cell_cycle_signature_score_binary,YAP_signature_score_binary,WNT_signature_score_binary,EMT_signature_score_binary
CH_L_276a,7-8,7,8,0.3881555227245059,173,-0.07922876120827972,0.0832525995924988,0.444329265443402,-0.10117009749861774,0.34823731667367464,19360,16940,21780,19360,0.0,0.0,1.0,0.0,0.0
CH_L_276a,7-9,7,9,0.4481365831709461,184,-0.041621513735658346,0.16801072177520576,0.3344038389525931,0.00831397764105428,0.4171595847072488,21780,16940,24200,19360,0.0,0.0,0.0,0.0,0.0
CH_L_276a,8-10,8,10,0.31121654413500943,184,-0.041757644467298745,0.1572612032767937,0.30383600962857404,0.03011123546427723,0.4343396390357852,24200,19360,26620,21780,0.0,0.0,0.0,0.0,0.0
CH_L_276a,8-11,8,11,0.512994449439613,191,-0.01966148650971573,0.21611972501475643,0.3352489968343052,0.05428853855387776,0.42963065947248535,26620,19360,29040,21780,1.0,1.0,0.0,1.0,0.0
CH_L_276a,8-12,8,12,0.4736758296775363,186,-0.027531555599174584,0.19182240386793198,0.33686414647151325,0.02697688528455756,0.44807438130911204,29040,19360,31460,21780,0.0,0.0,0.0,0.0,0.0
CH_L_276a,9-10,9,10,0.4367273909812253,187,-0.027889079959690873,0.12887326150286044,0.36224240357390286,0.04026333774971389,0.44195426005138,24200,21780,26620,24200,0.0,0.0,0.0,0.0,0.0
CH_L_276a,9-11,9,11,0.5140643874674896,181,-0.0132058076450571,0.19588114942495927,0.3398007386434077,0.07909937892323639,0.47346284607537914,26620,21780,29040,24200,1.0,0.0,0.0,1.0,1.0
CH_L_276a,9-12,9,12,0.422828335006845,188,-0.032204763054879355,0.19755296646210893,0.31474917626179527,0.02499624771287432,0.43804576678410545,29040,21780,31460,24200,0.0,0.0,0.0,0.0,0.0
CH_L_276a,9-8,9,8,0.41389374637262927,182,-0.06937416342040247,0.08761671052334584,0.41494921971620363,-0.0760380856564558,0.3869324295018384,19360,21780,21780,24200,0.0,0.0,1.0,0.0,0.0
CH_L_277a,2-10,2,10,0.769320796550807,183,0.08059256640575019,0.22819549596287525,0.334633759760024,0.07818519698376232,0.42794990481946454,23830,4766,26213,7149,1.0,1.0,0.0,1.0,0.0
CH_L_277a,2-8,2,8,0.45358968315567705,76,0.0031700281844455856,0.06063037578404316,0.3694689978923156,-0.04234612985585944,0.5878993266112487,19064,4766,21447,7149,0.0,0.0,0.0,0.0,1.0
CH_L_277a,2-9,2,9,0.6172428436915351,142,0.059483536105176454,0.1694428064610612,0.34608477237290963,0.03605513265303123,0.5044787859441726,21447,4766,23830,7149,0.0,0.0,0.0,0.0,0.0
CH_L_277a,3-10,3,10,0.6390028979332107,97,0.0280182441480054,0.1010280655070311,0.3590425869951728,0.012804260306210086,0.4002981662537005,23830,7149,26213,9532,0.0,0.0,0.0,0.0,0.0
CH_L_277a,3-6,3,6,0.4700437047857158,84,-0.045642223690016345,0.03975513096891082,0.43161411661673493,-0.05957983912302493,0.5673933433379944,14298,7149,16681,9532,0.0,0.0,1.0,0.0,1.0
CH_L_277a,3-7,3,7,0.5187399571315576,179,-0.0040081288096804075,0.08329094372195642,0.40728241633547485,-0.03926288007609772,0.5474904898724634,16681,7149,19064,9532,0.0,0.0,1.0,0.0,0.0
CH_L_277a,3-8,3,8,0.7908090909757963,184,0.07449058479616742,0.1840686536729533,0.3512919111887415,0.0701499760031821,0.430635167649182,19064,7149,21447,9532,1.0,0.0,0.0,1.0,0.0
